WT.GSM130365	WT.GSM130366	WT.GSM130367	KO.GSM130368	KO.GSM130369	KO.GSM130370
104030_at	1511.6	1351	1382.9	340.3	350.5	397.9
104066_at	130.6	124.6	107.4	39.5	33.1	18.4
104070_at	593.1	568.4	488.7	840	793.9	829.5
104078_g_at	580	616.6	590.4	978	979.8	1062.9
104093_at	116.1	95.2	121.1	55.8	27.4	35.6
104100_at	1072.4	1140	1019.3	644.2	708.2	759.3
104216_at	103.2	112.9	75.3	162.1	158.6	195
104263_at	368	302.1	298.7	170.7	193.7	133.6
104316_at	156	151	107.4	361.1	299.4	271.4
104358_at	939.6	899.6	790.6	532.1	642.2	598.2
104464_s_at	401.3	293.4	230	673.4	580.5	752.6
104471_at	2693.4	2605	2799.2	3827.6	3931.1	3813.9
104480_at	296.1	351.9	190.8	1004.9	1323.5	1030.5
104513_at	1352.5	1312.2	1292.9	951.3	1038.8	989.6
104533_at	5257.2	5190.3	5437.4	3316.7	3232	3215.7
104548_at	2275.8	2433.6	2146.1	1001.3	977.8	907.3
104549_at	1714.9	1787.9	1627.3	1312.4	1433.9	1302
104578_f_at	3067.3	3294.5	2922.5	2351.5	2165.9	2432.8
104603_at	283.7	234.6	273.5	111	161.7	88.3
104700_at	164.8	213	171.3	35.9	27.6	35.7
104733_at	195.9	235.9	205.1	403	493.1	412.8
160074_at	394.6	397	474.5	719.5	635.8	602.9
160076_at	667.5	797.2	596.4	1058.5	995.4	1209.4
160084_at	1622.1	1642	1563.7	2077	2055	2013.2
160106_at	796.3	808.3	762.3	548.2	462.7	507.5
160162_at	2951	3089.9	3172.1	4395.2	4380.9	3953.2
160163_at	620.5	586.3	533	837	807.2	737.4
160170_at	91.1	90.2	65.7	170.7	205.8	188.5
160172_at	92.1	75.6	134.7	765.3	741.6	879.7
160189_at	1130.1	1108	1037.3	1281.3	1322.9	1399.1
160225_at	830.4	801.4	800.1	1107.6	1073.3	1005.9
160249_at	558	613.1	475.8	756.6	862.5	777.9
160271_at	583.4	591.4	634	504.3	449.5	462.1
160301_at	850.8	891.2	931	763.6	754.9	703.1
160349_at	548.9	523.2	534.8	1050.6	959	1116.4
160365_at	1012.6	1199	1113.3	1868	2115.7	2141.3
160371_at	4367.8	4292.9	4149.9	4786.4	4851.2	5034.5
160373_i_at	669.9	775.1	688.8	503.3	483	408.4
160420_r_at	183.7	199.2	80.6	391.5	567.2	534.9
160432_at	630.7	608.2	651	529	516.9	559.9
160519_at	476	449.3	411.5	192.2	240.6	263.5
160520_at	2369.6	2304.1	2365.4	1639.3	1609.9	1659.7
160532_at	2168.4	2416.9	2053.2	1114.9	1189.1	1289.1
160543_at	4829.6	4672.5	4966.3	6405.3	6560.5	6953.3
160571_at	831.4	763.5	734.9	1140.7	1128.6	1223.6
160573_at	662.2	471.2	570.9	902.6	1091.3	1116.9
160762_at	292.5	298.3	319.1	255.5	222.3	229.8
160857_at	485.9	424.9	434.9	196.4	152.2	210.9
160906_i_at	4607	4103.1	4489.9	2647.3	2669.1	2519.3
160943_at	22.2	27.1	28.6	332.5	301.7	280.9
160976_at	813.2	799.9	757.4	472.9	520.9	600.6
160979_at	3184.8	2975.9	2969.7	2263.6	2381.7	2521.3
161068_at	680.2	739.3	599	1696.1	1830.2	1723.8
161072_at	5460.7	5549.2	5173	10833.1	11616.2	11680
161256_at	3.4	11.9	6.7	31.4	28.4	41.8
161479_f_at	110.7	102.4	89.3	40.1	52.9	36.8
161590_r_at	55	67.8	51.1	2.7	4	15.4
161612_f_at	565.1	449.7	424.9	885.2	881.7	917
161698_f_at	671.5	578.9	654	364.8	426.6	466.6
161703_f_at	1119.6	1264.5	1013.4	570.2	536.6	643.9
161819_f_at	576.6	601.3	660.6	817.2	833.9	869.6
162045_r_at	49.1	72.3	41.8	202.5	222.1	191.5
162081_f_at	757.8	956.6	923.7	1721.1	1666.1	1553.7
162087_f_at	76.3	69.2	72.1	19.2	16.7	8.5
162132_f_at	18.2	15.2	18.5	9.6	8.5	7.5
162153_i_at	2358.5	2309.9	2245.5	1889.1	1710.3	1684.5
162181_f_at	14.5	13.5	12.5	42.8	46.7	46
162349_i_at	16	14.9	12.2	70.9	63.3	60.1
162380_r_at	356.4	378.6	423.4	208.4	282.8	237
92190_at	211.7	232.1	183.5	112.3	138.6	105.2
92216_at	893.2	751.9	771.6	1047.4	1189.4	1193.7
92232_at	620.5	677	712.9	973.7	1073.1	1014.1
92310_at	1846	2065	2219.6	1369.5	1072.6	1251.5
92393_at	127.6	121.8	114.5	37.4	27.2	59.9
92507_at	379.9	355.3	401.2	135.8	185.3	214.4
92551_at	869.1	1011.6	928.7	1329.9	1224.8	1198.8
92582_at	155.8	127.1	194.7	310.3	344.8	291.6
92642_at	2334.4	2301	2220	1661	1653.4	1690.3
92708_at	446.3	453.8	557	2090.2	2066.9	2057.8
92769_at	2588.3	2338.9	2625.7	3110.1	3161.2	2931.6
92795_at	322.6	367.9	314.3	528	503.7	561.8
92810_at	970.6	1214.1	1045.1	1814.2	1697.4	1627.5
92850_at	1863.3	1738.9	1808.8	1526.7	1479.6	1436.1
92867_at	202.8	216.2	242.2	117.8	145	106.1
92887_at	1284.6	1441.2	1170.8	1708	1961.4	1788.4
92904_at	122.3	103.4	113	79.2	53.7	60.1
92947_s_at	99.5	95.6	105.1	59.8	64	46.8
92958_at	627.3	627	761.1	1095.3	937.1	955.9
93020_at	1730.1	1943.5	1352.5	3747	4071.8	4179.8
93021_at	4325	4598.4	4492.3	8957.3	8528.4	8529.7
93023_f_at	1146.6	1244.1	1240.8	690.5	860.9	868.7
93028_at	473.4	542.5	457.9	5010.2	5233.6	5293.4
93051_at	235.3	191	230.5	125.8	108.4	81.6
93063_at	1977.6	2105	2065.7	1438.7	1457.5	1518.7
93078_at	716.4	719.7	728.2	275.9	244.5	298.8
93083_at	1311.6	1343.3	1331	982.5	943.1	963.7
93084_at	3947.9	4260.3	3689.1	6012.6	6327.1	6347.2
93111_at	4292.1	3976.7	4439.6	3472.5	3080.3	3195.5
93126_at	2312	2456.4	3495.5	7192.8	6478.4	6698.3
93138_at	626.1	634.1	564.1	427.1	435.9	492.8
93140_at	87	88.1	92.4	174.4	169.2	175.6
93144_at	573.3	599.6	695.5	330.8	417.9	346.7
93240_f_at	1251.8	1334.7	1286.2	2202.6	1961.2	2088.1
93268_at	1133.3	1158.9	836.7	1621.9	1743.5	1822.3
93269_at	1164.1	1332	1114.4	1655.6	1759.1	1626.7
93271_s_at	7756.4	7870.3	8419.4	6191.6	5891.8	6381
93274_at	1861.3	1849.4	1780.3	1571.6	1605.4	1537.2
93285_at	1546.7	1497.5	1722.6	667	650.6	881.1
93290_at	4414.3	4271.8	4062.9	3640.6	3306.2	3230.9
93296_at	379.8	408.6	370.2	838.8	985	864.3
93323_at	8218.3	7966.1	8442.3	13301.1	11903.6	11878
93451_at	399	506.3	400.1	764.4	762	805.4
93455_s_at	428.4	511.5	552.7	1094.9	982.1	962.6
93471_at	1307.6	1127.4	1104.5	647.4	775.2	717.8
93497_at	265.5	236.9	249.6	117.2	136.3	135.2
93498_s_at	1833.5	1898.3	1986.6	2560.1	2417.6	2491.8
93511_at	244.3	256.1	229.4	164.9	150.2	127
93541_at	1152.6	1045.7	945.9	264	219.8	236.5
93560_at	487.8	531.5	533.9	333.6	338.3	334.4
93573_at	2139	2595.9	2309.7	7079	6507.9	7412.8
93595_at	1536.2	1532.8	1754.9	1158.3	1136.4	986.3
93642_at	81	75.2	79.9	61.1	58.5	60.9
93669_f_at	225.6	222.4	227.8	38.8	75.8	46.2
93674_at	802.7	661.5	641.5	1328	1373.6	1455.3
93690_at	671.3	748.4	920.5	248.6	115.6	116.2
93691_s_at	867.7	950.1	1085.1	99.1	155.6	134.3
93721_at	276.9	292	286.4	544.9	624.5	580.4
93775_at	1030	1147.3	1114.3	775.9	723.1	679.9
93802_at	101.8	102.3	107	59.3	51.3	52.9
93826_at	1186.2	1296.5	1290.7	1867.5	1862.9	1703.5
93838_at	1687.9	1555.3	1706.2	2061.8	2152.4	2052.2
93841_at	827	889.3	803.6	585	627.8	605.5
93903_at	1072.7	1122.7	1141	926.7	861.3	915
93907_f_at	4588.8	4636.2	4158.9	2183.3	2042.4	2113.4
93908_f_at	1057.7	1089.4	945.1	497.5	666.6	577.2
93909_f_at	3118.3	2876.1	3173.9	1317.4	1499	1579.1
93929_s_at	7633.8	7597.9	7339.9	5290.5	5542.8	6060.1
93959_at	60.8	57.8	45.2	6.8	19.6	8.9
94027_at	1404.6	1155	1079.3	6604.2	6473.9	6451.7
94028_f_at	283.3	254.1	222.4	1411.7	1551.9	1613.9
94084_at	1157.7	990.4	1063.6	779.8	709.5	835.4
94105_at	2298.9	2361	2333.4	2497.3	2430.5	2481.1
94109_at	1046	1238.7	1065.4	757.7	772.4	642.7
94167_at	15.9	22.9	14.8	36	30.6	34.3
94189_at	193.6	162	184.3	122.3	87.6	107.8
94200_at	1342.8	1263.1	1279.7	558.7	457.9	494.9
94214_at	896.9	1046.5	775	1660.2	1823.3	1862.8
94236_at	3831.2	3333.6	3475.6	2165.2	2651.8	2560.9
94252_at	5767.4	5722.9	5916.7	8414.7	8231.5	8026.3
94269_at	2351	2310.5	2278.5	3025.1	2869.1	2974.7
94334_f_at	1300.5	1160.8	1332.3	585.3	526.5	491.1
94335_r_at	1335.4	1163.8	1110	561.4	434.8	496
94358_at	72.7	49.5	63	162.2	142	133.4
94380_at	527.3	575.7	521.6	433.3	355.9	379.1
94426_at	359.1	252	519.3	1024.7	1126.6	1313.4
94486_at	3502.1	3323.8	3138.9	3964.6	4006.9	4213.8
94510_at	3887.1	3849.4	3725.1	4951.9	4743.9	4887.8
94549_at	799.9	827.1	714	458.8	493.3	598.6
94752_s_at	228.6	222.4	301	92.8	32	65.6
94774_at	188.7	229.2	204.5	122.9	96	83.4
94811_s_at	177.2	202.4	194.1	334.7	328.9	293.2
94835_f_at	1331.9	1285.9	1361.5	2443.2	2384.1	2266
94837_at	7626.6	8023.2	7852.9	6907.1	6824.6	6369.5
94982_f_at	639.3	632.2	600.6	464.3	388.6	406.3
95064_at	985.2	770.5	899.1	1365.1	1418.8	1500.1
95133_at	5203	6700.3	5417.6	9672.2	8853.2	9602.9
95159_at	2131.8	2248.8	2343.3	1516	1414.6	1320.9
95349_g_at	831.6	913.7	780.5	499	551.9	597.4
95430_f_at	211.6	302.9	166.8	1073.2	1180.8	1313.2
95438_at	345.1	291.1	295.7	410.3	421.2	469.4
95471_at	2979.1	2921.7	2489.5	654.9	691.6	698.8
95516_at	1657.9	1865.2	1743	2598.3	2637.5	2712.9
95523_at	922.1	902.8	920.8	1295.7	1206	1233
95562_at	339.2	389.5	380.2	1229.9	1514.9	1501.5
95591_at	630.8	610.4	608.7	488.2	459.5	447.4
95600_at	457.2	466.4	393.2	774.8	755.1	774.9
95603_at	1163.8	1077.2	1256.7	1720.4	1550.6	1760.1
95625_at	438.1	513.3	520.3	1083.2	999.9	1190.2
95669_g_at	1141.3	946.4	1062.3	1955.3	1704.8	1712
95670_at	594.5	660.6	737.1	1313.1	1170.7	1273.7
95673_s_at	8543.3	8389.9	7869.8	6299	6094.6	5920.8
95675_at	532.4	550.7	454.6	738.7	744.4	699.9
95677_at	1217.5	1318.5	1162.6	1740.2	1565.9	1712.1
95685_at	1760	1770.1	1919.5	1332.2	1091.9	1076.4
95693_at	1142	1033.3	1132	1555.2	1691.5	1544.5
95695_at	589.1	639.5	551.7	1227.5	1136.7	1229.2
95852_at	125.7	126.1	148.4	17	20.7	62
95896_at	275.1	313.6	276.8	180	147.8	165.4
96024_at	5095.3	5117.1	4957.8	5907.7	5772.4	5783.4
96046_at	2323.4	2199.7	2407.8	118.3	110.1	197.1
96102_i_at	1862.9	1774.4	1887.2	1505.2	1551.5	1435.7
96112_at	688.7	687.3	604	857.4	902.8	993.5
96117_r_at	778.5	901.9	787.3	327.9	313.5	406.4
96120_at	3912.2	3501.1	3524.5	5214.6	5005.1	4804.2
96156_at	1830.9	1963.1	1904.9	3134.8	2983.2	3037.9
96162_at	1391.9	1496.7	1158.4	2138.9	2134.5	2232.5
96176_at	957.3	1221.4	1072.9	1840.9	2134.5	1828.2
96183_at	950.4	938.5	973.7	400.8	360.6	404.5
96199_at	131.6	130.3	148.2	295.3	356.3	333.5
96215_f_at	14728.9	14284.2	16334.9	5421.5	4733.9	4898.5
96244_at	1088.5	1245.9	1126.7	1500	1540	1582.9
96272_at	1311.7	1252.5	1322.8	810.6	855.3	908.3
96294_s_at	1490.9	1534.9	1375.7	1186.7	1085.8	1077
96320_at	994.1	1014.5	1016.8	1198.6	1206.3	1168.5
96426_at	4009.5	4366.6	3885.5	5938	5686.4	5491.1
96610_at	979.8	986.5	1030.4	1198.6	1221.8	1256.1
96614_at	877.3	843.3	869.9	736.3	674.5	731.2
96620_at	260.6	335.6	232.2	451.8	507.4	478.8
96633_s_at	3861.1	4302.9	3714.6	5504.8	5240.2	5047.1
96643_at	411.3	410.3	372.3	1524.6	1630.8	1625.7
96664_at	1476.6	1584.4	1425	2320.3	2290.8	2107.4
96668_at	1442.7	1712.5	1638.5	2701.8	2901.5	3073.4
96669_at	571.1	587.7	440.7	809.9	793.5	896.9
96678_at	374.5	378.4	386.9	169.4	206.7	182.9
96728_at	292.4	392.2	464.4	902.1	878.3	937.8
96736_at	738.2	673.6	829.6	375.4	444.7	459.4
96765_at	1127.7	1110.8	945.1	2399.5	1931.5	2019
96771_at	391.5	356.1	373.4	883.1	892.8	787.2
96840_at	2340.7	2588.1	2246.5	4911	4864.9	4911.5
96850_at	259.8	295.2	233.4	88.7	82.9	105.2
96858_at	1478.5	1669.5	1648.6	2677.4	2724	2293
96885_at	2368.7	2081.1	2348.6	1567.3	1272.6	1357
96887_at	1774.6	1785.6	1774.8	2175.3	2193.5	2152
96888_at	4694.3	4692.4	4665.9	3281	3275.7	3510.9
96920_at	508.2	576.6	520.2	1940.6	1918	1971.4
97181_f_at	4791.2	4912.9	4719	2395.4	2246.6	2346.7
97193_at	545	565	667.9	1594.3	1655.3	1564.8
97203_at	4101.6	4403.2	4986.7	6906.5	6370.5	6303.1
97210_at	822.5	882.7	997.5	1456.1	1274	1319.3
97249_at	2316.8	2181.9	2309.1	1704.7	1541.2	1643.2
97273_at	2212.7	2156.5	1992.3	1749.4	1599.8	1606.9
97283_at	335.6	362.3	312.4	432.7	482.4	476.2
97318_at	508.7	538.4	507.5	268.7	348.5	326.7
97341_at	460.5	371	406.5	826.3	822.5	945.4
97369_g_at	815	962.5	911.1	1455.4	1416.7	1369.3
97433_at	572.7	496.2	590	799.9	758	809.8
97463_g_at	3389	3991.5	3743.2	5313.3	4958.3	5112.8
97498_at	549.6	483.6	476.4	1288.9	1307.6	1402.1
97500_g_at	375	510.2	420.3	879.1	812.1	927.7
97525_at	231.5	160.6	139.6	407.6	477.2	351.7
97598_at	171.9	217.7	194.7	321.5	288.9	332.8
97803_at	1329.6	1244.2	1369.6	2779.5	2428.3	2872.4
97833_at	314.8	357.7	263.9	907.8	883.4	893.7
97834_g_at	226.4	207.8	97.8	1058	831.3	1037.8
97870_s_at	1199.8	1329.8	1379.3	1553.9	1648.9	1717
97909_at	5638.3	6627.6	6072.6	7880.4	7810.3	8343.9
97937_at	1707.4	1655.6	2005.1	3497.6	3338	3349.6
98038_at	1292.5	1256.8	1508	2881.1	3056.4	2765.4
98069_s_at	803.5	921.6	828.2	1136.3	1096.9	1051.4
98092_at	1542.4	1452.1	1259.1	793	719.2	646.2
98106_at	813.9	746.7	774.8	603.7	649.3	663.7
98129_at	9664.6	9851.9	9005.8	13564	12488.5	12717.2
98136_at	1231.9	1262.7	1372.3	2924.6	2612.1	2577.6
98155_r_at	2048.4	2106.8	2212.3	1816.5	1889.5	1765.1
98245_at	609.3	625.9	577	460.2	508	511.9
98254_f_at	9372.4	9536	9474.8	4373.4	4013.7	4481.9
98319_at	79	37.9	93.3	176	239	244.9
98369_f_at	2338.3	2829.8	2630.6	1660.7	1638.7	1342.2
98414_at	1608.6	1589.7	1304.6	3147.1	3517.8	3410.6
98435_at	14.4	28.8	11.4	94.5	84.1	85.9
98483_at	588.6	614.6	715.1	393.6	292.7	318.6
98496_at	1236.9	1442.7	1207.2	1886.2	1861.4	1776.8
98508_s_at	368.4	452.8	388.2	629	695.8	696.8
98524_f_at	16592.1	16854.1	18252.4	12955.4	12471.9	13745.6
98525_f_at	27125.9	25833.2	28080.1	8566.7	7967.2	8229.7
98603_s_at	1368.2	1391.6	1491.6	1680.3	1770.7	1749.4
98621_at	92.3	92.8	102	19.5	17.5	26.1
98623_g_at	3883.7	3754	4101	925.1	738.6	719.9
98631_g_at	783.8	818.8	774.5	1742.8	1602.5	1720.1
98730_at	260.1	241.5	221.8	148.6	163.2	173.3
98860_at	32.3	37.2	34.5	20.6	19.4	17.5
98920_g_at	397.9	385	369.8	328.9	304.3	316.9
98927_at	953	967.2	984.4	1191.8	1277.2	1188.3
98960_s_at	27.4	33.5	14.5	102.1	97.8	128.7
98973_at	2219.1	2045.4	1884.1	1228.4	1072.8	1431.5
98990_at	1029.7	939.1	880	639.6	540.6	577.7
99005_at	758.8	708.1	663.4	403	362.4	459.3
99013_f_at	2490.2	2703.3	2545.5	3127.4	3264.3	3031.2
99051_at	2656.1	2960.5	2638.2	1674.7	1738.3	1886.8
99082_at	737.6	693.3	732.4	380.1	471.1	386.3
99127_at	4615.5	4746.7	4478.5	5415.3	5429.3	5389.6
99161_at	1834.2	1855.6	2001	1250	1480.1	1463.8
99197_at	138.3	160.2	177.5	71.3	72.3	91.5
99329_at	181	199.7	214.4	263.7	297.9	296.7
99452_at	1262	1211.6	1253.8	884.1	933.4	1012.9
99521_at	255.3	281.7	279.9	674.2	639.5	782.8
99561_f_at	120	163.1	184.3	358.7	390.1	332.3
99566_at	5047	5128.4	4845.7	4164.3	4191	4446.7
99603_g_at	458.3	643.3	619.8	1343.4	1204.7	1034.2
99622_at	2139.3	1411.3	1790.3	3530.1	3848.9	3946.2
99669_at	11282.6	11232.3	11213.2	8193.4	7331.3	8190.5
99810_at	390.4	304.3	453.7	712.4	776.4	664.2
99838_at	290.7	301.7	329	432.5	438.9	433.3
99861_at	119.7	94.7	108.1	274.6	224.5	248.2
99956_at	391.5	452.1	349.6	679	664.8	731
99959_at	493.5	614.3	387	1395.8	1673.5	1648.8
AFFX-TransRecMur/X57349_3_at	695.4	697	754.9	937.1	890	969
